community,sales_count,mean_abs_pct_error,median_abs_pct_error,mean_pct_bias,shrunk_mean_abs_pct_error,meets_min_support
152.0,156,40.37798012440687,37.176251306783925,18.836377812901798,37.67034179793471,True
149.0,157,39.21923462509424,33.30373674131219,14.726378412386934,36.65782538513465,True
264.0,159,34.012841694244145,32.49390520559997,11.727714686074863,32.061771432479645,True
94.0,32,38.31530504572561,10.437846596252845,24.002757359260738,29.944327278697248,True
144.0,72,33.64818364459373,31.96995350125747,5.3658127789308985,29.931353037388977,True
265.0,176,30.8382045382773,30.586487013883442,-1.507234876257778,29.38030232533593,True
153.0,180,30.693352371178293,15.989493997210062,3.77433787825065,29.27909341920565,True
151.0,203,28.99642046823293,30.819433870322978,-8.592896361288966,27.88021799139158,True
273.0,205,28.488399474324954,21.569589778838562,15.35287994507264,27.427276218958458,True
215.0,133,26.88373145395718,18.671126383827474,21.501408828703166,25.533016603956483,True
148.0,63,28.18875074019758,21.125860328409537,16.47581017845722,25.384416309174522,True
228.0,34,30.001922614970837,16.88330496896002,5.132688807418699,25.020011591445297,True
135.0,239,25.290618620355428,19.835740760429335,7.902536350386001,24.61572628298836,True
249.0,35,27.92581986136283,22.706700331686935,-1.7848794659958713,23.78943549412248,True
137.0,140,24.62041937866423,18.87041551759205,3.4315319182768627,23.611712312762684,True
150.0,139,24.386502473912955,19.039945986352517,0.5241335563136961,23.400874848446154,True
266.0,137,24.376629768003976,18.38834395946938,-2.0960715186806147,23.379704046150206,True
269.0,102,24.517004661948523,20.839461964278172,12.55288789805036,23.211063381539233,True
216.0,128,24.24565513557071,18.54446417288911,9.90700510536073,23.205804826906004,True
125.0,31,27.356332145864986,12.281709913085121,12.686951793911126,23.118853991193177,True
260.0,605,23.19278029499611,15.84677755850812,3.760647141668002,22.98023573680269,True
268.0,103,23.981058238233437,18.841597558841794,10.255123881506764,22.77288012656164,True
245.0,22,28.22452607368707,18.190128832785724,-3.9902417287168253,22.665591205956023,True
46.0,10,34.733930026607524,30.028545783892174,23.21581085807759,22.611818576503758,False
219.0,137,23.417291728858473,16.915454762520238,7.195127661758996,22.542574674411775,True
242.0,21,28.168600487046813,20.195570155540334,-12.297396625343957,22.501362616024892,True
131.0,369,22.68067026294867,17.15239485632112,7.701088976626491,22.365507928167343,True
4.0,40,24.81648309202987,17.877046030254814,19.69810463303043,22.061243011837202,True
25.0,13,30.04586145078053,16.604166686363165,20.862052127767456,21.867013814823768,False
146.0,224,22.260021177478503,18.447497689726116,-3.8204955554014104,21.792049183541895,True
99.0,233,21.834508318223335,14.905907979334712,11.775322862191638,21.41682092954575,True
145.0,110,22.249766459963492,14.49240320124502,5.720702227121851,21.372996674038628,True
243.0,29,24.525797112942932,26.95425603812786,-11.811319765017442,21.270681087844544,True
53.0,281,21.594561091446757,13.954122163960047,3.639409929811102,21.259424995766032,True
238.0,26,24.1578608948763,16.672703305825,-5.49798665110077,20.850426962952636,True
226.0,3,48.50760925122531,50.175858183378324,43.18947942306471,20.7190471644658,False
21.0,23,24.24777239261606,13.156397797005853,16.209112349684975,20.667767954865276,True
171.0,38,22.542382377014498,17.23852090058629,6.346914946110894,20.476306678544624,True
97.0,27,23.3564317032796,19.67172211180184,12.507031616594688,20.460402404629505,True
277.0,1,95.9153958027562,95.9153958027562,95.9153958027562,20.330031087228267,False
143.0,90,21.060144577494903,15.792852062450752,-5.937438430907545,20.240256990941624,True
256.0,554,20.00480329446985,16.093066497290906,-1.3877250740655867,19.884453453249712,True
23.0,24,22.58774052265325,15.07958552136717,10.72459796931764,19.84365976301626,True
7.0,12,25.278903179176666,17.965843603308745,22.81434052297338,19.82381547434867,False
206.0,152,20.191864398657515,15.9763575675599,2.7982563551396993,19.76848049781965,True
2.0,48,20.93027240696623,16.62923010334725,7.515876094105956,19.64218136122671,True
49.0,126,20.053712549208175,17.47031511703262,-10.186632077188909,19.57385642622786,True
28.0,18,22.757696503897915,13.720429081184594,5.784510478382894,19.490889318399997,False
160.0,6,29.26952849945809,31.110531822976483,-24.43351538853231,19.485862616376384,False
89.0,116,19.92542549511594,13.883969655756937,-3.858490283836989,19.42915157693005,True
158.0,3,38.45895875651289,18.59179754368947,26.06442706071991,19.408353621677225,False
