feature,split_importance,gain_importance,gain_fraction
center_local_mean_log_price,439,723573.8693618774,0.38581716719763437
sqft,1266,318189.8486967087,0.16966216063533815
community_center,1154,145138.4758529663,0.0773893557742178
neighbor_6_local_mean_log_price,28,86931.04308700562,0.046352542850866915
time_trend,856,86260.03168106079,0.04599475253979992
week,1917,73446.5412197113,0.039162465193558954
community_neighbor_2,835,49807.1901845932,0.026557715579254744
community_neighbor_3,849,49671.42553329468,0.026485324444931766
community_neighbor_5,807,48969.39387893677,0.026110993812447338
community_neighbor_4,747,46997.61625289917,0.025059621326190464
sqft_lot,728,44616.289607048035,0.023789873012193465
community_neighbor_6,724,43366.48021221161,0.02312346155004651
community_neighbor_1,583,32683.73788547516,0.017427311430586605
neighbor_2_local_mean_log_price,31,21943.996551513672,0.011700768843361062
year,220,18286.67038345337,0.00975064421693802
neighbor_5_local_mean_log_price,41,15096.923974990845,0.008049838016629595
beds,100,14281.246213912964,0.007614910089502108
neighbor_4_local_mean_log_price,44,10915.06713294983,0.005820028139933521
unemployment_rate,112,7878.976411819458,0.004201152761785076
neighbor_3_local_mean_log_price,33,7362.987005233765,0.003926021804764132
neighbor_1_local_mean_log_price,32,6539.779993057251,0.003487079202075522
distance_to_water_m,137,5121.114121437073,0.0027306316975917485
center_local_log1p_sales_count,76,3886.3076963424683,0.002072219976080045
mortgage_rate,39,2086.1490993499756,0.001112356553965836
center_local_recency_years,40,1551.045602798462,0.0008270337639387098
center_local_price_trend,27,1545.5741062164307,0.0008241163046425739
neighbor_2_local_log1p_sales_count,24,1114.302695274353,0.0005941578703921208
center_local_log_price_std,36,1077.4427995681763,0.0005745037878627184
neighbor_6_local_price_trend,16,972.5678024291992,0.0005185833407331057
neighbor_3_local_price_trend,19,928.2580032348633,0.000494956891619719
neighbor_1_local_log1p_sales_count,12,780.3097076416016,0.0004160693105247156
neighbor_5_local_price_trend,16,676.7301979064941,0.00036083963085018254
neighbor_1_local_price_trend,14,591.5337982177734,0.00031541201803115133
neighbor_6_local_log1p_sales_count,15,538.3331966400146,0.0002870448999481799
neighbor_3_local_log1p_sales_count,8,395.01110458374023,0.00021062405904252886
is_waterfront,7,345.85120391845703,0.00018441148501588042
neighbor_4_local_price_trend,6,342.66119384765625,0.00018271053822805115
neighbor_4_local_log1p_sales_count,8,292.9424991607666,0.0001562000093752378
neighbor_2_local_price_trend,6,265.68049812316895,0.00014166362482926064
neighbor_2_local_log_price_std,10,220.43820095062256,0.00011753995802517989
neighbor_6_local_recency_years,6,180.0380983352661,9.59982000851138e-05
neighbor_1_local_log_price_std,5,143.39920330047607,7.646195742886548e-05
neighbor_5_local_recency_years,5,99.9503002166748,5.329454714023743e-05
neighbor_5_local_log1p_sales_count,3,87.3745002746582,4.6588998868915825e-05
neighbor_1_local_recency_years,2,64.95409870147705,3.463420587725243e-05
neighbor_3_local_log_price_std,2,52.21369934082031,2.7840891471592504e-05
neighbor_3_local_recency_years,2,36.72609901428223,1.958274073164968e-05
neighbor_4_local_log_price_std,1,30.516199111938477,1.627155704971811e-05
neighbor_4_local_recency_years,1,29.34320068359375,1.5646101999564965e-05
neighbor_2_local_recency_years,1,17.66029930114746,9.41665659408079e-06
neighbor_5_local_log_price_std,0,0.0,0.0
neighbor_6_local_log_price_std,0,0.0,0.0
