feature,split_importance,gain_importance,gain_fraction
center_local_mean_log_price,1055,742179.5575208664,0.3578736679344781
sqft,1876,326436.3840651512,0.15740528680538227
community_center,2022,159383.88722229004,0.07685376908039193
time_trend,1428,102160.75842142105,0.04926118614391258
neighbor_6_local_mean_log_price,78,78679.13892936707,0.037938517375274566
community_neighbor_2,2190,75302.72752141953,0.03631043597263632
community_neighbor_3,2155,71193.31482458115,0.03432890659747199
community_neighbor_5,2079,69939.32347774506,0.033724240949782394
community_neighbor_4,1870,65017.35562086105,0.0313509032951015
community_neighbor_6,1856,64442.016367435455,0.03107347882706862
sqft_lot,1558,56815.17258834839,0.027395869372151226
community_neighbor_1,1698,52964.64112615585,0.025539170674500546
neighbor_2_local_mean_log_price,70,27870.961924552917,0.013439178257778283
neighbor_5_local_mean_log_price,112,17850.247829914093,0.00860726167905967
beds,276,15886.442388534546,0.007660328757916221
annual_sin,496,15401.86634016037,0.00742666965740942
unemployment_rate,274,13448.40892124176,0.006484726478595085
neighbor_4_local_mean_log_price,106,13279.17299747467,0.006403122128042618
water_proximity,607,12697.553942203522,0.006122669584529089
mortgage_rate,268,9795.428900241852,0.00472328567123379
center_local_log1p_sales_count,335,8553.927774906158,0.004124642718909985
neighbor_1_local_mean_log_price,89,8399.503088474274,0.004050180240938194
neighbor_3_local_mean_log_price,89,8299.732381820679,0.004002071520641714
center_local_recency_years,438,7667.537005901337,0.0036972314374855435
annual_cos,362,7508.612518787384,0.003620599187847656
center_local_price_trend,200,5438.307377338409,0.002622312873968521
center_local_log_price_std,294,4893.168741703033,0.002359450927569325
neighbor_3_local_price_trend,115,2637.4945163726807,0.0012717809688591781
neighbor_6_local_price_trend,80,2149.0110092163086,0.0010362377197086735
neighbor_1_local_price_trend,108,2103.316503047943,0.001014204156049831
neighbor_5_local_price_trend,90,1893.1008949279785,0.0009128396951554018
neighbor_1_local_log1p_sales_count,58,1789.6789264678955,0.0008629703625622938
neighbor_2_local_log1p_sales_count,73,1644.8916578292847,0.0007931549784374656
neighbor_2_local_price_trend,76,1644.3143424987793,0.0007928766011192155
neighbor_4_local_recency_years,124,1511.7064890861511,0.0007289340438003142
neighbor_2_local_recency_years,121,1471.3398098945618,0.0007094695201574323
neighbor_1_local_recency_years,106,1413.588881969452,0.000681622436262781
neighbor_4_local_price_trend,77,1400.3474173545837,0.0006752374968468039
neighbor_6_local_recency_years,115,1399.975067615509,0.0006750579524689956
neighbor_5_local_recency_years,106,1279.7848091125488,0.000617103070493904
neighbor_6_local_log1p_sales_count,54,1214.0604333877563,0.0005854112471676143
neighbor_3_local_recency_years,92,1116.197693347931,0.0005382225347094622
neighbor_3_local_log1p_sales_count,55,1097.8245778083801,0.0005293631499650392
neighbor_2_local_log_price_std,77,1044.2332096099854,0.000503521775984259
neighbor_4_local_log1p_sales_count,52,988.056318283081,0.0004764336812656833
neighbor_6_local_log_price_std,61,779.6273593902588,0.00037593072983449716
is_waterfront,29,708.0693225860596,0.000341425956910205
neighbor_5_local_log_price_std,55,677.2374820709229,0.00032655906419871636
neighbor_4_local_log_price_std,55,676.4299116134644,0.0003261696595070922
neighbor_3_local_log_price_std,53,667.7874202728271,0.0003220023120709849
neighbor_5_local_log1p_sales_count,39,564.9409875869751,0.00027241049870683484
neighbor_1_local_log_price_std,40,480.9201192855835,0.00023189623768016498
