community,count,2020,2021,2022,2023,2024,2025,2026
123,489,8.5552,8.2301,8.8852,9.3896,9.4075,16.1493,0.0
201,485,12.4102,12.7384,11.4856,13.3268,14.7584,20.9024,0.0
5,481,9.2679,11.8748,13.5274,9.4329,10.1394,20.1045,0.0
106,480,11.8081,10.5194,13.5843,9.9034,11.8748,21.8881,0.0
134,477,16.0228,16.7501,15.6448,16.6013,14.7767,17.9743,12.2248
126,476,14.2184,11.134,11.0732,15.5042,14.6186,19.4105,0.0
68,464,10.8128,10.0022,13.5462,13.1875,12.9222,14.2691,0.0
273,457,21.7925,20.5261,18.8355,22.223,22.2461,26.6814,5.116
253,452,18.2624,21.9621,17.6375,23.0382,18.3545,14.7593,0.0
229,445,8.3657,8.2305,8.3812,8.7896,10.912,15.7719,0.0
60,438,8.6328,9.1437,11.6938,10.2441,14.0837,16.1707,0.0
54,431,12.6386,13.642,16.1603,13.3097,16.5247,27.5948,0.0
105,429,5.924,13.1513,8.7788,5.5499,14.0481,28.6866,0.0
55,424,10.2792,13.6253,13.8849,11.0743,15.7139,26.8524,0.0
121,423,9.0032,9.7257,10.3973,8.7102,15.096,21.8718,0.0
199,421,10.8793,13.5242,17.0086,14.7436,15.3371,17.6143,0.0
70,410,11.941,9.7021,11.4869,8.7657,11.7967,17.9847,0.0
203,406,11.5668,15.2942,10.41,15.6632,15.5419,19.9909,0.0
265,404,31.5868,32.139,32.4377,30.8153,30.2805,29.1295,0.0
153,401,17.397,19.8146,19.5917,19.5753,23.694,46.6131,0.0
64,401,9.9082,8.9521,10.5281,11.9544,13.2425,19.541,0.0
57,401,10.7986,14.5196,15.8659,12.4513,11.0448,24.5867,0.0
31,393,6.7383,10.9039,8.1356,6.9083,9.4574,15.0282,0.0
140,391,14.6586,14.9847,14.1104,17.0128,15.4346,20.2126,0.0
59,391,13.3992,10.9693,17.586,16.59,19.0704,15.1633,0.0
34,386,4.6673,6.2926,9.1168,16.2181,7.4077,15.1883,0.0
77,384,13.5908,22.1714,19.4045,12.4755,12.7105,16.2528,0.0
29,383,11.5565,10.775,14.9141,18.3532,23.839,20.2141,0.0
205,381,10.3258,10.5546,12.7109,16.8479,11.4169,18.9435,0.0
264,378,24.2918,32.5812,19.5795,26.0526,31.2782,26.2182,0.0
129,377,8.2638,8.4537,10.2208,8.0555,11.0862,18.8193,0.0
62,366,10.3674,10.8182,14.3348,10.2384,15.1832,17.3206,0.0
215,358,8.61,9.1177,12.0691,12.2341,21.1386,26.753,0.0
150,349,21.5206,20.0401,27.0664,25.0501,28.6581,27.065,0.0
149,347,30.3119,35.4931,27.8224,33.3217,31.0293,30.8412,0.0
56,347,7.841,10.2598,12.8582,10.0269,15.9878,21.5073,0.0
107,347,11.1374,13.0351,16.404,9.5694,12.1589,26.3048,0.0
147,347,13.1103,15.6275,19.5539,18.1744,16.3164,27.8059,0.0
166,343,7.3167,10.6184,11.1194,9.7005,13.9999,28.6514,0.0
168,339,5.7205,9.6301,10.8392,8.5138,10.0125,24.944,0.0
90,339,13.0425,15.6467,18.0153,15.4428,15.3352,22.3124,0.0
227,333,10.5048,8.199,12.846,9.5583,10.7279,22.6081,0.0
49,333,14.8934,17.8532,20.0784,17.5443,17.964,27.8697,0.0
89,330,15.5885,17.5289,16.3689,28.2186,18.2216,17.3,0.0
267,323,13.2551,13.839,16.1437,8.7298,13.2869,25.954,0.0
152,323,34.1879,36.8616,27.1892,36.3043,29.1982,33.3735,0.0
36,323,8.0454,7.385,10.7259,10.3411,10.7426,18.786,7.0459
117,321,13.4139,10.9452,18.5143,10.8249,15.9981,19.7409,0.0
206,318,18.077,22.7031,22.7629,18.5546,24.6813,21.5088,0.0
71,316,19.129,18.7047,18.2761,17.9994,18.4535,19.4899,24.8186
219,314,21.7192,21.5779,20.2382,19.0719,15.8627,29.315,0.0
165,308,6.5959,6.5618,9.8441,9.9646,10.6923,21.6364,0.0
137,308,16.0321,20.3137,23.0895,24.286,23.5906,31.194,0.0
200,307,19.1939,21.3199,15.9425,16.6145,14.4327,27.6611,0.0
0,307,10.1309,12.2457,18.7101,14.6897,11.5387,25.2942,0.0
180,300,8.4545,14.0899,13.4117,8.339,14.1944,29.2732,0.0
204,296,9.6655,11.5003,12.229,14.9649,13.1757,16.776,9.2137
266,288,21.8271,26.5202,29.588,26.7282,26.1983,28.7669,0.0
12,287,5.9363,10.7075,8.5708,7.0102,12.431,26.1204,0.0
208,283,7.813,11.5831,13.6903,13.8358,13.0345,28.9253,0.0
74,278,16.0958,11.6264,16.1722,15.6252,12.7848,17.5968,0.0
192,272,6.4449,8.8794,8.0588,12.9653,10.3357,19.535,0.0
274,265,11.8183,12.8569,8.838,11.9668,18.6193,33.258,0.0
30,261,11.8661,10.2922,9.9955,9.7943,13.8521,17.111,0.0
216,258,12.7958,17.7567,21.9868,16.0175,20.8371,32.4235,0.0
80,253,13.1297,11.9158,15.3438,18.6554,14.3455,16.6483,0.0
37,253,12.9235,14.5248,21.2172,14.7346,21.3135,19.7814,0.0
66,252,10.3484,12.1517,12.2937,16.7313,13.4092,16.4204,42.6934
95,252,9.9156,14.5788,13.9542,9.0421,12.3087,24.0008,0.0
207,250,12.0055,14.7204,18.2995,13.0053,23.4445,16.6313,0.0
271,250,16.648,17.3336,24.8223,18.8263,18.7129,20.1,0.0
269,244,18.706,19.5753,16.408,13.5704,22.1698,31.2306,0.0
233,243,12.7159,14.3239,19.2478,19.6468,17.2669,24.4114,0.0
163,242,10.9512,12.7431,14.2477,17.5516,15.8152,21.0779,0.0
33,240,7.2447,10.8578,10.8144,9.1803,11.9041,16.0779,0.0
76,239,15.2911,13.288,16.8517,11.4158,13.3883,22.0365,3.1695
198,238,11.9679,13.6267,15.0861,14.5526,15.2751,17.5534,0.0
3,237,12.727,12.9775,17.931,18.8983,17.6836,17.7531,0.0
92,236,15.7505,34.9209,19.9545,18.4722,16.8801,22.4512,0.0
16,236,6.2862,23.0758,16.2882,16.1497,16.3185,28.009,0.0
78,235,14.6858,12.6225,11.4964,14.0035,11.7567,19.4314,0.0
145,231,18.3511,17.5958,17.032,22.0373,22.9217,24.7732,0.0
142,226,12.6723,15.1937,13.8164,12.5102,17.1679,26.9301,0.1304
268,224,15.7838,23.1681,20.4182,19.5832,21.3072,23.9399,0.0
75,206,17.0147,15.9156,11.39,12.8846,16.2207,19.4795,0.0
212,202,10.0803,14.7965,15.7135,9.359,13.9225,25.0591,0.0
194,200,10.6702,11.6821,14.6214,11.8025,16.3787,14.3921,0.0
122,188,14.9848,13.4212,8.7666,11.3526,20.3884,15.3403,0.0
17,184,7.9839,10.2885,15.6048,12.3897,9.5783,19.6755,0.0
6,182,10.982,10.047,12.9022,12.6822,13.2492,17.5301,0.0
217,182,10.5057,12.4781,10.3435,10.4032,15.2857,26.6378,0.0
35,182,11.0295,27.0353,8.5536,14.4901,14.1396,19.8636,15.364
214,180,17.3436,14.2261,12.8333,13.5533,15.8033,22.4646,0.0
143,179,17.8893,23.9084,23.2017,18.4879,19.7373,26.9711,0.0
144,169,21.9036,31.7674,25.1702,24.5955,23.1169,28.5946,0.0
218,169,11.4073,12.0376,10.3689,12.1652,11.713,29.5921,0.0
11,166,11.5322,11.4879,11.3627,8.2527,15.7516,24.1678,0.0
127,166,8.3334,8.493,8.1523,7.1148,9.1322,17.9125,0.0
79,165,16.0413,14.2138,14.1034,11.2982,11.2567,17.0784,0.0
210,159,13.6129,16.4373,13.2951,8.7195,11.7318,26.095,0.0
270,158,12.8469,18.7079,19.4565,13.6615,16.8243,16.6969,22.3598
169,156,9.6285,9.3591,8.1509,13.4991,16.8795,21.2712,2.3963
232,155,9.9979,6.9071,10.6386,9.4089,9.9379,13.5185,0.0
112,148,13.1682,14.1811,14.4675,15.2948,17.3004,29.9042,0.0
103,144,17.2368,17.2269,14.0625,12.4803,8.8096,26.3571,0.0
1,144,9.2663,16.8079,14.2457,16.2689,13.8663,19.3942,0.0
9,140,17.1851,18.779,14.691,16.4785,21.7912,27.0074,0.0
2,140,13.0283,12.6617,14.9296,10.9257,17.7281,23.0962,0.0
15,138,9.8077,14.1666,13.4448,15.2779,15.5301,31.9425,0.0
13,137,7.2508,9.6364,8.8834,12.5861,14.6278,19.2895,0.0
159,135,10.9271,16.1313,9.788,15.9821,16.8074,35.5384,0.0
148,135,24.2164,16.7314,27.2566,18.7808,18.2325,27.632,0.0
42,131,12.4288,9.9545,14.8364,11.0405,17.1849,24.1207,0.0
38,128,11.3069,9.5911,13.2063,18.1272,11.3942,16.4575,0.0
27,128,14.4809,12.9551,12.9158,14.218,14.8656,21.4606,0.0
111,123,16.1911,16.3246,16.9728,13.2098,12.4923,28.7317,0.0
113,121,6.9232,14.0231,26.3571,11.7116,13.4118,31.5155,8.4414
58,119,12.9718,12.6381,12.1779,10.6942,11.9245,23.4589,0.0
72,114,16.5141,15.6425,12.4934,12.417,17.2154,19.7797,0.0
4,114,13.042,18.8258,12.1523,11.1342,19.6664,24.3982,0.0
231,111,13.6315,11.4513,15.3187,16.3255,23.2069,24.7971,0.0
211,105,19.2546,18.9865,12.6399,17.2417,20.0906,14.0436,0.0
197,105,45.5808,22.4631,18.7702,24.6578,16.4011,23.3108,0.0
104,103,11.8234,11.0956,14.157,6.3764,16.0304,28.8652,0.0
172,96,11.4376,26.0982,13.8567,8.7895,15.7405,17.3596,0.0
213,95,8.9148,23.3115,21.119,10.9584,11.3599,23.6206,0.0
73,93,31.4413,19.9869,16.7101,11.252,14.7572,16.256,0.0
94,92,18.0495,16.6541,13.3096,13.8537,49.3462,29.2429,0.0
97,91,18.3189,18.0536,15.6178,19.7879,17.787,21.2439,0.0
175,90,14.7768,17.5148,10.6258,9.3281,4.3049,17.0376,0.0
125,88,13.1091,14.4755,15.1171,21.0289,10.8385,23.823,0.0
249,87,25.7282,45.6023,19.5989,17.7125,18.5897,27.8149,0.0
228,86,34.4682,15.6912,15.3266,20.5811,34.222,31.0541,0.0
220,82,10.8658,12.3532,12.4188,11.1971,20.6091,28.43,0.0
154,76,11.4568,23.0452,15.3476,19.2638,17.5425,24.7631,0.0
243,71,18.6595,18.7856,35.2252,17.0376,22.5492,25.8881,0.0
174,70,10.0943,12.0761,18.9555,8.8671,13.3926,21.2985,0.0
234,69,13.4603,10.7199,22.2637,14.0287,16.9092,15.6265,0.0
171,68,15.0731,20.6666,14.8116,13.8266,22.4011,27.6069,0.0
224,65,17.5432,23.3175,18.8672,18.6586,23.6968,25.8293,0.0
161,65,8.8367,16.2896,18.6963,17.7806,13.1457,23.2047,0.0
170,64,12.8189,10.0252,13.4026,11.9599,18.4124,23.8071,0.0
173,62,15.1892,12.8616,23.2508,13.4425,15.5942,23.7288,0.0
21,59,10.3149,16.0443,14.5099,9.9719,16.8004,31.4103,0.0
230,58,11.4792,14.6375,8.3987,10.0922,9.0605,25.6941,0.0
242,56,19.5036,23.9385,16.9973,12.2116,14.6619,23.2538,0.0
120,53,13.4109,8.5568,21.2603,36.7656,20.1357,24.491,0.0
19,51,13.5207,13.6247,11.5001,16.415,14.2867,22.6014,0.0
23,50,22.1707,13.5844,15.803,7.3627,27.2295,18.7386,0.0
238,48,16.8478,21.3211,35.9118,13.5823,19.9738,16.3353,0.0
189,47,8.7693,11.7666,14.9955,13.071,10.179,20.0037,0.0
183,45,12.5351,8.9122,9.1721,14.3331,7.7218,22.2408,0.0
28,43,12.7001,12.1213,23.9376,25.323,35.4456,14.9882,0.0
20,43,8.2495,9.2454,6.6026,21.0534,12.2057,18.8907,0.0
245,43,33.2917,35.9966,32.5909,45.1485,46.3854,21.1168,0.0
40,42,9.4543,10.3961,33.3838,27.7627,24.1153,23.5458,0.0
7,41,6.8798,14.2681,14.8427,10.0191,13.0456,27.677,0.0
47,41,24.8393,13.2494,14.2179,20.9792,14.5084,18.9726,0.0
25,41,12.9051,15.5205,15.4894,16.7623,33.3834,19.0565,0.0
193,40,2.9326,6.9009,11.5006,15.1431,11.2959,23.5342,0.0
45,38,9.1113,12.2008,20.7173,17.0871,14.1619,26.1099,0.0
186,38,11.9806,10.2612,14.0458,14.5576,27.2868,15.2785,0.0
247,38,5.5416,19.9792,17.4865,12.7111,10.0255,21.7325,0.0
14,37,6.5047,10.9619,18.9563,13.55,20.3603,25.7821,0.0
187,37,13.9849,12.0551,12.0341,11.7246,14.7012,25.9889,0.0
18,35,10.1303,12.507,12.5995,20.6926,14.9106,23.344,0.0
244,34,21.2159,21.2195,16.7983,29.318,11.6089,18.1536,0.0
26,34,22.4658,19.1235,17.6369,11.4589,9.3346,28.3215,0.0
241,33,30.4066,15.4327,13.6506,6.4907,7.7476,17.8781,9.6333
155,33,17.5826,16.7412,14.8478,30.8745,16.9579,18.7143,0.0
46,31,16.8372,12.0541,21.216,17.0399,7.6801,38.9367,0.0
191,31,7.4124,14.5891,8.3187,8.8075,5.509,24.0436,0.0
167,31,13.4158,17.3468,10.6395,6.6192,17.9324,25.3264,0.0
164,31,20.4663,17.4973,21.1082,13.4405,24.5155,18.7324,0.0
221,31,10.0808,14.0694,10.7734,17.3053,20.2235,20.8606,0.0
179,29,21.093,11.4074,9.8824,26.0351,0.0,26.2557,0.0
181,27,6.2728,10.7153,12.2196,10.3349,25.7781,12.5538,0.0
246,27,18.798,25.2132,78.8854,7.632,14.4159,7.9202,0.0
156,26,20.7646,39.5374,25.8369,11.3241,14.7797,35.0629,0.0
185,25,6.9317,6.7899,15.4599,23.9007,28.8326,19.0512,0.0
157,25,38.2775,17.5622,4.473,18.0843,22.9789,24.2873,0.0
39,24,8.3856,13.2045,14.2797,18.6172,6.4745,13.7457,0.6908
188,24,5.7861,8.8477,11.1765,6.6891,15.6006,38.11,0.0
43,23,8.181,13.6284,8.0032,15.473,11.304,10.746,0.0
239,22,16.2243,18.0426,106.1368,6.6263,11.1648,9.2367,0.0
41,20,18.1173,12.9249,14.2524,21.8741,13.9659,23.0576,0.0
190,18,10.8919,24.2193,6.8119,30.2672,19.8175,30.5188,0.0
44,18,39.324,22.7468,17.3215,15.802,13.0703,18.7218,0.0
