feature,split_importance,gain_importance,gain_fraction
center_local_decayed_log_price_premium,581,528495.1341667175,0.2497707252959264
sqft,1805,357787.1759161949,0.16909287645773946
community_center,2190,189088.0797548294,0.08936443076177708
time_trend,1628,150753.37748289108,0.07124716577396932
neighbor_6_local_decayed_log_price_premium,58,91869.96343183517,0.043418426993579645
community_neighbor_4,2349,89748.2319188118,0.042415680923406945
community_neighbor_3,2484,87527.45054769516,0.041366123154701916
community_neighbor_5,2608,87000.31392908096,0.04111699447394518
community_neighbor_6,2257,86292.19656229019,0.04078233294753994
community_neighbor_2,2508,86179.34549331665,0.040728998694250396
community_neighbor_1,1940,67846.03985881805,0.03206454229841139
sqft_lot,1814,64935.70972585678,0.030689098663899107
neighbor_4_local_decayed_log_price_premium,54,40711.79340553284,0.01924069591110008
beds,342,21028.732603549957,0.009938335199101138
water_proximity,751,15079.010036945343,0.007126452128288257
mortgage_rate,329,14539.217834472656,0.006871342324612832
unemployment_rate,282,14237.477831840515,0.00672873775848555
neighbor_5_local_decayed_log_price_premium,82,13308.396010398865,0.0062896467898115845
neighbor_3_local_decayed_log_price_premium,64,12261.619925022125,0.005794932637941075
annual_sin,520,11734.467182159424,0.005545796336744745
center_local_log1p_decayed_sales_count,433,10543.157902240753,0.004982774723752584
annual_cos,489,9133.799189090729,0.004316701329263073
neighbor_1_local_decayed_log_price_premium,63,6905.523194313049,0.003263601545756736
neighbor_2_local_decayed_log_price_premium,58,6574.804290294647,0.0031073013356214194
center_local_recency_years,458,5865.034062862396,0.0027718586550019913
center_local_relative_price_trend,258,4076.0287103652954,0.0019263614392971897
center_local_decayed_log_price_std,274,3931.0363569259644,0.0018578369762706657
neighbor_1_local_recency_years,192,2365.635621547699,0.0011180169632242164
neighbor_2_local_log1p_decayed_sales_count,106,2333.928496360779,0.0011030319403867357
neighbor_1_local_log1p_decayed_sales_count,115,2259.582342147827,0.0010678953957712202
neighbor_4_local_recency_years,184,2090.5154161453247,0.0009879931109606345
neighbor_3_local_relative_price_trend,155,1995.9143471717834,0.0009432839432053878
neighbor_6_local_recency_years,166,1931.778739452362,0.0009129729786917174
neighbor_2_local_recency_years,166,1877.9027709960938,0.0008875107958874049
neighbor_5_local_recency_years,168,1875.0337295532227,0.0008861548655944612
neighbor_6_local_relative_price_trend,136,1769.4849877357483,0.0008362717463498729
neighbor_4_local_relative_price_trend,122,1697.062382221222,0.000802044285134539
neighbor_5_local_relative_price_trend,128,1666.578543663025,0.0007876373966425763
neighbor_2_local_relative_price_trend,148,1617.8792510032654,0.0007646217492644689
neighbor_3_local_recency_years,136,1534.432782649994,0.0007251843286024174
neighbor_6_local_decayed_log_price_std,118,1421.5071668624878,0.0006718148439349636
neighbor_1_local_relative_price_trend,119,1332.3330688476562,0.0006296705029584046
neighbor_2_local_decayed_log_price_std,114,1327.7559685707092,0.0006275073313755143
neighbor_4_local_log1p_decayed_sales_count,84,1292.1227898597717,0.0006106668264856005
neighbor_1_local_decayed_log_price_std,107,1285.3813405036926,0.0006074807674542936
neighbor_5_local_decayed_log_price_std,109,1244.761658668518,0.0005882836041554148
neighbor_3_local_log1p_decayed_sales_count,67,1225.3552117347717,0.0005791119732118276
neighbor_4_local_decayed_log_price_std,92,1157.3071775436401,0.0005469519668918465
neighbor_6_local_log1p_decayed_sales_count,69,1116.126132965088,0.0005274894993914661
neighbor_3_local_decayed_log_price_std,85,1036.2884712219238,0.0004897576275342877
neighbor_5_local_log1p_decayed_sales_count,71,1013.2596311569214,0.00047887402669503183
