sale_date,sale_price,sale_nbr,lat,lng,sqft,sqft_lot,year_built,year_reno,beds,baths,address,city,zipcode,property_type,h3_07,community
2025-09-26,522375.0,"8109-34th-Ave-SW,-Seattle,-WA-98126",47.529743,-122.375657,790.0,4760.0,1940.0,,2.0,1.0,"8109 34th Ave SW, Seattle, WA 98126",Seattle,98126,Single Family,8728d5570ffffff,9
2025-09-26,449000.0,"7007-48th-Ave-S,-Seattle,-WA-98118",47.539586,-122.272962,430.0,4000.0,1914.0,,1.0,1.0,"7007 48th Ave S, Seattle, WA 98118",Seattle,98118,Single Family,8728d550effffff,9
2025-09-26,3800000.0,"727-13th-Ave-E,-Seattle,-WA-98102",47.626099,-122.315981,4450.0,6969.0,2003.0,,4.0,3.0,"727 13th Ave E, Seattle, WA 98102",Seattle,98102,Single Family,8728d542effffff,9
2025-09-26,1024000.0,"14522-Ne-5th-St,-Bellevue,-WA-98007",47.614643,-122.144912,2260.0,8483.0,1965.0,,4.0,2.0,"14522 Ne 5th St, Bellevue, WA 98007",Bellevue,98007,Single Family,8728d558dffffff,7
2025-09-26,1089950.0,"4414-Midvale-Ave-N,-Seattle,-WA-98103",47.660418,-122.343375,1648.0,749.0,2026.0,,2.0,1.5,"4414 Midvale Ave N, Seattle, WA 98103",Seattle,98103,Townhouse,8728d542bffffff,9
2025-09-26,1089950.0,"4410-Midvale-Ave-N,-Seattle,-WA-98103",47.660418,-122.343375,1489.0,1106.0,2025.0,,3.0,1.5,"4410 Midvale Ave N, Seattle, WA 98103",Seattle,98103,Townhouse,8728d542bffffff,9
2025-09-26,1089950.0,"4416-Midvale-Ave-N,-Seattle,-WA-98103",47.660348,-122.343326,1648.0,749.0,2026.0,,2.0,1.5,"4416 Midvale Ave N, Seattle, WA 98103",Seattle,98103,Townhouse,8728d542bffffff,9
2025-09-29,799950.0,"6358-Delridge-Way-SW,-Seattle,-WA-98106",47.544935,-122.361311,1520.0,4620.0,1942.0,,3.0,2.0,"6358 Delridge Way SW, Seattle, WA 98106",Seattle,98106,Single Family,8728d5572ffffff,38
2025-09-29,2165000.0,"11310-Ne-60th-St,-Kirkland,-WA-98033",47.66131,-122.189278,2620.0,15623.0,1965.0,,4.0,2.5,"11310 Ne 60th St, Kirkland, WA 98033",Kirkland,98033,Single Family,8728d5415ffffff,7
2025-09-29,2335000.0,"1006-5th-St,-Kirkland,-WA-98033",47.68328,-122.199026,4170.0,9664.0,2007.0,,6.0,5.0,"1006 5th St, Kirkland, WA 98033",Kirkland,98033,Single Family,8728d5411ffffff,8
2025-09-29,1140000.0,"7708-44th-Ave-NE,-Seattle,-WA-98115",47.685202,-122.280732,1350.0,6500.0,1948.0,,3.0,1.0,"7708 44th Ave NE, Seattle, WA 98115",Seattle,98115,Single Family,8728d540effffff,59
2025-09-29,890000.0,"3002-Nw-66th-St,-Seattle,-WA-98117",47.676812,-122.395913,1590.0,5000.0,1945.0,,5.0,1.5,"3002 Nw 66th St, Seattle, WA 98117",Seattle,98117,Single Family,8728d5470ffffff,9
2025-09-30,1040000.0,"6208-Fremont-Ave-N,-Seattle,-WA-98103",47.674168,-122.349664,1620.0,3276.0,1910.0,,3.0,2.0,"6208 Fremont Ave N, Seattle, WA 98103",Seattle,98103,Single Family,8728d540dffffff,9
2025-09-30,939000.0,"618-N-49th-St,-Seattle,-WA-98103",47.664492,-122.350671,1450.0,1508.0,2019.0,,2.0,2.0,"618 N 49th St, Seattle, WA 98103",Seattle,98103,Single Family,8728d5476ffffff,9
2025-09-30,1000000.0,"2545-36th-Ave-W,-Seattle,-WA-98199",47.642933,-122.40403,1410.0,7684.0,1940.0,,2.0,1.0,"2545 36th Ave W, Seattle, WA 98199",Seattle,98199,Single Family,8728d555bffffff,59
2025-09-30,800000.0,"4160-Sw-Orchard-St,-Seattle,-WA-98136",47.53917,-122.385883,1010.0,5920.0,1911.0,,3.0,1.0,"4160 Sw Orchard St, Seattle, WA 98136",Seattle,98136,Single Family,8728d5570ffffff,9
2025-09-30,825000.0,"5023-36th-Ave-NE,-Seattle,-WA-98105",47.665555,-122.289378,990.0,4000.0,1923.0,,2.0,1.0,"5023 36th Ave NE, Seattle, WA 98105",Seattle,98105,Single Family,8728d5401ffffff,59
2025-09-30,482500.0,"7945-Delridge-Way-SW,-Seattle,-WA-98106",47.530501,-122.360808,1170.0,5600.0,1949.0,,3.0,1.0,"7945 Delridge Way SW, Seattle, WA 98106",Seattle,98106,Single Family,8728d5576ffffff,38
2025-09-30,675000.0,"4563-34th-Ave-W,-Seattle,-WA-98199",47.662897,-122.401899,760.0,3417.0,1936.0,,3.0,1.0,"4563 34th Ave W, Seattle, WA 98199",Seattle,98199,Single Family,8728d5470ffffff,9
2025-09-30,1325000.0,"7725-Ne-142nd-Pl,-Kirkland,-WA-98034",47.729937,-122.236994,2030.0,7700.0,1973.0,,4.0,2.0,"7725 Ne 142nd Pl, Kirkland, WA 98034",Kirkland,98034,Single Family,8728d541bffffff,59
2025-09-30,925000.0,"2513-Vashon-Ct-NE,-Renton,-WA-98059",47.513996,-122.163756,2100.0,7588.0,1963.0,,5.0,2.0,"2513 Vashon Ct NE, Renton, WA 98059",Renton,98059,Single Family,8728d5514ffffff,10
2025-09-30,482500.0,"7949-Delridge-Way-SW,-Seattle,-WA-98106",47.530367,-122.36081,980.0,5600.0,1949.0,,3.0,1.0,"7949 Delridge Way SW, Seattle, WA 98106",Seattle,98106,Single Family,8728d5576ffffff,38
2025-09-30,850000.0,"4839-S-Holly-St,-Seattle,-WA-98118",47.542299,-122.271043,2020.0,5725.0,1954.0,,4.0,1.5,"4839 S Holly St, Seattle, WA 98118",Seattle,98118,Single Family,8728d550effffff,9
2025-09-30,1268500.0,"2617-32nd-Ave-W,-Seattle,-WA-98199",47.643763,-122.398647,1050.0,6000.0,1949.0,,2.0,1.0,"2617 32nd Ave W, Seattle, WA 98199",Seattle,98199,Single Family,8728d5474ffffff,9
2025-09-30,1590000.0,"2131-168th-Ave-SE,-Bellevue,-WA-98008",47.591005,-122.116156,2950.0,18730.0,1974.0,,4.0,2.0,"2131 168th Ave SE, Bellevue, WA 98008",Bellevue,98008,Single Family,8728d55aaffffff,7
2025-09-30,1861900.0,"7521-30th-Ave-NE,-Seattle,-WA-98115",47.68371,-122.296292,2530.0,8165.0,1939.0,,3.0,1.5,"7521 30th Ave NE, Seattle, WA 98115",Seattle,98115,Single Family,8728d5408ffffff,9
2025-10-01,1250000.0,"1026-N-48th-St,-Seattle,-WA-98103",47.663789,-122.344834,2200.0,4140.0,1916.0,,3.0,1.5,"1026 N 48th St, Seattle, WA 98103",Seattle,98103,Single Family,8728d5476ffffff,9
2025-10-01,1499990.0,"1254-151st-Ave-SE,-Bellevue,-WA-98007",47.597758,-122.136801,1680.0,7560.0,1962.0,,4.0,2.0,"1254 151st Ave SE, Bellevue, WA 98007",Bellevue,98007,Single Family,8728d55abffffff,59
2025-10-01,654950.0,"9042-Wallingford-Ave-N,-Seattle,-WA-98103",47.695385,-122.336094,1060.0,6770.0,1951.0,,3.0,1.0,"9042 Wallingford Ave N, Seattle, WA 98103",Seattle,98103,Single Family,8728d5409ffffff,9
2025-10-01,3225000.0,"8855-Points-Dr-NE,-Clyde-Hill,-WA-98004",47.636486,-122.22038,3900.0,36000.0,1963.0,,3.0,2.5,"8855 Points Dr NE, Clyde Hill, WA 98004",Clyde Hill,98004,Single Family,8728d5406ffffff,15
2025-10-01,600000.0,"3924-Sw-Dawson-St,-Seattle,-WA-98136",47.555829,-122.382059,1140.0,777.0,2021.0,,2.0,1.5,"3924 Sw Dawson St, Seattle, WA 98136",Seattle,98136,Single Family,8728d5573ffffff,14
2025-10-01,440000.0,"13217-1st-Ave-S,-Burien,-WA-98168",47.484303,-122.334252,1650.0,7800.0,1942.0,,4.0,2.0,"13217 1st Ave S, Burien, WA 98168",Burien,98168,Single Family,8728d552dffffff,38
2025-10-01,2995000.0,"1240-108th-Ave-NE,-Bellevue,-WA-98004",47.622379,-122.193885,3060.0,7724.0,1995.0,,3.0,2.5,"1240 108th Ave NE, Bellevue, WA 98004",Bellevue,98004,Single Family,8728d5430ffffff,36
2025-10-01,1150000.0,"7704-45th-Ave-SW,-Seattle,-WA-98136",47.53386,-122.389986,2600.0,7500.0,1962.0,,3.0,1.5,"7704 45th Ave SW, Seattle, WA 98136",Seattle,98136,Single Family,8728d5570ffffff,9
