sale_date,sale_price,sale_nbr,lat,lng,sqft,sqft_lot,year_built,year_reno,beds,baths,address,city,zipcode,property_type,h3_07,community
2025-10-31,1825000.0,"5956-38th-Ave-SW,-Seattle,-WA-98126",47.548546,-122.380036,3290.0,6550.0,2016.0,,4.0,2.5,"5956 38th Ave SW, Seattle, WA 98126",Seattle,98126,Single Family,8728d5573ffffff,14
2025-10-31,875000.0,"9713-Dayton-Ave-N,-Seattle,-WA-98103",47.700102,-122.353091,1700.0,5099.0,1976.0,,3.0,1.5,"9713 Dayton Ave N, Seattle, WA 98103",Seattle,98103,Single Family,8728d5454ffffff,9
2025-10-31,1450000.0,"3701-Woodlawn-Ave-N,-Seattle,-WA-98103",47.652158,-122.339055,3060.0,6840.0,1949.0,,5.0,2.0,"3701 Woodlawn Ave N, Seattle, WA 98103",Seattle,98103,Multi-Family,8728d542bffffff,9
2025-10-31,1450000.0,"3705-Woodlawn-Ave-N,-Seattle,-WA-98103",47.652331,-122.339055,3060.0,6840.0,1949.0,,5.0,2.0,"3705 Woodlawn Ave N, Seattle, WA 98103",Seattle,98103,Multi-Family,8728d542bffffff,9
2025-10-31,775000.0,"8363-29th-Ave-NW,-Seattle,-WA-98117",47.690449,-122.394676,1510.0,1443.0,2009.0,,3.0,2.0,"8363 29th Ave NW, Seattle, WA 98117",Seattle,98117,Single Family,8728d5473ffffff,9
2025-10-31,899000.0,"206-Nw-62nd-St,-Seattle,-WA-98107",47.674514,-122.359852,1630.0,4434.0,1923.0,,4.0,1.0,"206 Nw 62nd St, Seattle, WA 98107",Seattle,98107,Single Family,8728d5472ffffff,9
2025-10-31,831000.0,"2007-N-153rd-Pl,-Shoreline,-WA-98133",47.73975,-122.335698,500.0,7504.0,1979.0,,1.0,2.0,"2007 N 153rd Pl, Shoreline, WA 98133",Shoreline,98133,Single Family,8728d5452ffffff,59
2025-10-31,820000.0,"6320-42nd-Ave-S,-Seattle,-WA-98118",47.545337,-122.280607,2100.0,7670.0,1968.0,,3.0,2.5,"6320 42nd Ave S, Seattle, WA 98118",Seattle,98118,Single Family,8728d550effffff,9
2025-10-31,950000.0,"3701-Sw-Southern-St,-Seattle,-WA-98126",47.529607,-122.379533,2610.0,4353.0,1963.0,,5.0,2.5,"3701 Sw Southern St, Seattle, WA 98126",Seattle,98126,Single Family,8728d5570ffffff,9
2025-11-03,875000.0,"5916-18th-Ave-S,-Seattle,-WA-98108",47.549382,-122.309622,1850.0,6720.0,1907.0,,3.0,1.5,"5916 18th Ave S, Seattle, WA 98108",Seattle,98108,Single Family,8728d5508ffffff,38
2025-11-03,1152000.0,"15327-Ne-1st-St,-Bellevue,-WA-98007",47.610065,-122.134076,1510.0,8250.0,1961.0,,5.0,2.0,"15327 Ne 1st St, Bellevue, WA 98007",Bellevue,98007,Single Family,8728d55abffffff,59
2025-11-03,660000.0,"8356-12th-Ave-NW,-Seattle,-WA-98117",47.690309,-122.371135,1350.0,1138.0,2019.0,,3.0,1.5,"8356 12th Ave NW, Seattle, WA 98117",Seattle,98117,Single Family,8728d5472ffffff,9
