Unnamed: 0,sale_date,sale_price,sale_nbr,lat,lng,sqft,sqft_lot,year_built,year_reno,sqft_fbsmt,sqft_1,grade,fbsmt_grade,condition,stories,beds,bath_full,bath_3qtr,bath_half,garb_sqft,gara_sqft,h3_07,h3_10,price_per_sqft,h3_08,community
5814,2020-03-19,650000,4.0,47.3938764461977,-122.452827549303,1250,27542,1971,0,0,1250,7,0,3,1.0,3,1,0,0,0,0,8728d5ce3ffffff,8a28d5ce30e7fff,520.0,8828d5ce31fffff,130
5815,2020-04-09,255000,4.0,47.773164435669,-121.492110386804,640,13125,1970,0,0,640,5,0,3,1.0,2,1,0,0,0,0,8728d0999ffffff,8a28d0999107fff,398.4375,8828d09991fffff,0
5817,2020-04-10,1090000,2.0,47.7736954056985,-122.211354347343,1950,13264,1969,0,0,1950,8,0,3,1.0,3,1,1,0,0,0,8728d54f3ffffff,8a28d54f3167fff,558.974358974359,8828d54f31fffff,9
5819,2020-04-14,875000,4.0,47.6753616854467,-122.293993681013,1090,5000,1922,0,0,820,7,0,3,1.5,4,1,0,0,0,0,8728d540effffff,8a28d540ea27fff,802.7522935779816,8828d540ebfffff,9
5820,2020-04-09,297000,3.0,47.4923900510039,-122.333345944501,1660,14250,1950,0,0,1660,7,0,3,1.0,3,1,0,1,0,0,8728d5528ffffff,8a28d5528a17fff,178.9156626506024,8828d5528bfffff,5
5821,2020-04-10,660000,3.0,47.7042678074064,-122.372369389507,960,6930,1949,0,0,960,7,0,3,1.0,2,1,0,0,0,360,8728d5454ffffff,8a28d5454317fff,687.5,8828d54543fffff,9
5822,2020-04-13,1250000,2.0,47.4132365050499,-122.453865660571,1440,641203,1990,0,0,940,7,0,3,2.0,2,2,0,0,0,0,8728d5cc5ffffff,8a28d5cc501ffff,868.0555555555555,8828d5cc51fffff,130
5824,2020-04-15,649900,3.0,47.5266917406411,-122.316344951787,720,6000,1940,0,0,720,5,0,3,1.0,1,1,0,0,0,0,8728d550dffffff,8a28d550dd17fff,902.6388888888889,8828d550ddfffff,5
5825,2020-04-24,1500000,3.0,47.4000730067523,-121.984775979445,1070,186872,1964,0,0,1070,6,0,4,1.0,3,1,0,0,0,0,8728d4274ffffff,8a28d42741a7fff,1401.8691588785048,8828d42741fffff,13
5826,2020-04-22,775000,3.0,47.7055756318388,-122.354510675736,2270,8110,1949,0,1000,1270,7,7,4,1.0,3,1,1,0,220,0,8728d5454ffffff,8a28d545441ffff,341.40969162995594,8828d54545fffff,9
5828,2020-04-09,1455000,2.0,47.502925945144,-122.021249073616,2470,87120,1966,0,0,2470,8,0,5,1.0,3,1,1,0,0,0,8728d4258ffffff,8a28d4258d6ffff,589.0688259109312,8828d42589fffff,64
5829,2020-04-29,690000,2.0,47.4240208049365,-122.027904443396,2270,207781,1949,0,890,1380,7,6,4,1.0,2,1,0,0,0,0,8728d4271ffffff,8a28d4271b37fff,303.9647577092511,8828d4271bfffff,64
5830,2020-05-11,1425000,2.0,47.6742028253554,-122.31090415709,1700,4056,1940,0,0,900,7,0,3,1.5,2,1,0,0,0,0,8728d540cffffff,8a28d540c297fff,838.2352941176471,8828d540c7fffff,9
5836,2020-05-18,336000,3.0,47.4988660584005,-122.316751860127,670,10812,1928,0,0,670,5,0,4,1.0,2,1,0,0,0,0,8728d5528ffffff,8a28d552844ffff,501.4925373134328,8828d55285fffff,5
5837,2020-05-28,1100000,3.0,47.5310678006681,-121.764052180384,1920,59677,1920,0,0,1220,6,0,5,1.5,4,1,0,0,0,0,8728d4289ffffff,8a28d4289a2ffff,572.9166666666666,8828d4289bfffff,70
5839,2020-06-09,825000,2.0,47.5516018240741,-122.284819436356,1090,7500,1926,0,0,780,6,0,3,1.5,3,1,0,0,0,0,8728d5508ffffff,8a28d5508487fff,756.8807339449542,8828d55085fffff,5
5841,2020-06-15,4185000,3.0,47.5322419518885,-122.21740445873,2410,16316,1947,0,740,1420,8,5,4,1.5,4,1,2,0,0,0,8728d5502ffffff,8a28d5502667fff,1736.5145228215767,8828d55027fffff,1
5842,2020-06-20,537500,1.0,47.5569383184605,-122.39673866343,890,5120,1921,0,0,890,5,0,4,1.0,2,1,0,0,0,0,8728d5546ffffff,8a28d5546517fff,603.9325842696629,8828d55465fffff,9
5844,2020-06-18,650000,3.0,47.697218238599,-122.39121649682,540,8144,1976,0,0,540,5,0,4,1.0,1,0,1,0,0,0,8728d5473ffffff,8a28d5473677fff,1203.7037037037037,8828d54737fffff,9
5845,2020-06-15,665000,4.0,47.6883827858701,-122.377568016788,880,4249,1942,0,0,880,7,0,3,1.0,2,1,0,0,0,0,8728d5473ffffff,8a28d547224ffff,755.6818181818181,8828d54723fffff,9
5847,2020-06-10,1545000,3.0,47.696310077277,-122.369112579676,1160,5425,1944,0,400,760,6,6,3,1.0,2,1,0,1,0,0,8728d5454ffffff,8a28d54548e7fff,1331.896551724138,8828d54549fffff,9
5850,2020-06-30,2180000,3.0,47.6771068321834,-122.328061345908,1270,5100,1900,0,170,1100,7,6,3,1.0,2,1,0,0,0,0,8728d540dffffff,8a28d540d477fff,1716.5354330708662,8828d540d5fffff,9
5851,2020-06-22,489900,2.0,47.2099155724194,-121.988775432256,2820,8122,1939,0,1210,1210,7,6,4,1.5,5,1,1,0,0,0,8728d4adcffffff,8a28d4adc5affff,173.72340425531914,8828d4adc5fffff,105
5853,2020-07-01,780000,3.0,47.5726893448235,-122.394371655417,1060,6466,1950,0,0,1060,7,0,3,1.0,3,1,0,0,0,0,8728d5555ffffff,8a28d5555377fff,735.8490566037735,8828d55553fffff,9
5854,2020-07-05,1721823,2.0,47.6460109664169,-122.384276140503,760,6000,1942,0,0,760,6,0,3,1.0,2,1,0,0,0,0,8728d5474ffffff,8a28d5474c47fff,2265.5565789473685,8828d5474dfffff,9
5856,2020-07-02,1550000,2.0,47.7159765223467,-122.244291310247,2300,59677,1965,0,0,1440,10,0,4,2.0,4,1,1,1,0,0,8728d5419ffffff,8a28d54194f7fff,673.9130434782609,8828d54195fffff,9
5858,2020-07-10,710000,2.0,47.3574484234136,-122.284590151909,920,11326,1956,0,0,920,6,0,3,1.0,2,1,0,0,0,0,8728d5caaffffff,8a28d5caa9b7fff,771.7391304347826,8828d5cae7fffff,79
5860,2020-07-14,998800,3.0,47.669604306814,-122.361024125214,1150,3500,1950,0,220,930,7,7,3,1.0,2,1,0,0,240,0,8728d5476ffffff,8a28d547662ffff,868.5217391304348,8828d54767fffff,9
5861,2020-07-15,560000,3.0,47.5029642151222,-122.144035297082,1450,30000,1962,0,0,1020,5,0,2,2.0,2,1,0,0,0,0,8728d4249ffffff,8a28d4249adffff,386.2068965517241,8828d42493fffff,13
5862,2020-07-18,588000,2.0,47.4597636399724,-122.354998408888,1650,9152,1942,0,0,1650,6,0,3,1.0,3,1,0,0,0,0,8728d5cd3ffffff,8a28d5cd3b9ffff,356.3636363636364,8828d5cd3bfffff,5
5863,2020-07-14,450000,2.0,47.3086857095391,-122.233822151687,1480,6000,1908,0,0,940,6,0,3,1.5,5,1,0,0,0,0,8728d5ca6ffffff,8a28d5ca616ffff,304.05405405405406,8828d5ca6bfffff,79
5864,2020-07-20,290000,4.0,47.3869030703378,-122.238466983141,1440,6634,1957,0,0,1440,7,0,3,1.0,4,1,0,0,0,0,8728d5c83ffffff,8a28d5c838effff,201.38888888888889,8828d5c839fffff,79
5865,2020-07-14,1629000,2.0,47.6857850214951,-122.381841653572,760,4800,1912,0,0,760,6,0,4,1.0,2,1,0,0,0,0,8728d5473ffffff,8a28d5473caffff,2143.4210526315787,8828d5473dfffff,9
5866,2020-07-17,600000,3.0,47.5098409253843,-122.271998627702,1630,11730,1963,0,0,1630,8,0,3,1.0,3,1,0,2,0,460,8728d5501ffffff,8a28d5501917fff,368.09815950920245,8828d55019fffff,5
5867,2020-06-29,407500,3.0,47.5267295681274,-122.36345745824,770,7680,1918,0,0,770,4,0,2,1.0,2,1,0,0,0,0,8728d5576ffffff,8a28d557635ffff,529.2207792207793,8828d55763fffff,5
5869,2020-07-23,1058000,5.0,47.74643236386,-122.04970151463,2320,56740,1997,0,0,1230,7,0,3,2.0,3,2,0,1,0,890,8728d5482ffffff,8a28d5482baffff,456.0344827586207,8828d5482bfffff,139
5870,2020-07-26,500000,3.0,47.2816592154474,-122.252049479072,580,16000,1912,0,0,580,3,0,1,1.0,2,1,0,0,0,0,8728d5d8affffff,8a28d5d8a0d7fff,862.0689655172414,8828d5d8a1fffff,79
5871,2020-07-06,2549950,3.0,47.6746107597386,-122.327190846903,1220,6120,1938,0,130,1090,7,6,4,1.0,3,1,0,0,0,0,8728d540dffffff,8a28d540d577fff,2090.122950819672,8828d540d5fffff,9
5872,2020-07-31,2200000,3.0,47.6513732986059,-122.371073330508,1350,6000,1942,0,0,1200,7,0,4,1.5,2,1,0,0,0,0,8728d5429ffffff,8a28d5476967fff,1629.6296296296296,8828d54769fffff,9
5873,2020-07-22,732757,3.0,47.5228205355368,-122.323198288628,1540,6000,1910,1985,0,870,6,0,3,2.0,4,1,0,1,0,0,8728d552bffffff,8a28d552b60ffff,475.8162337662338,8828d552b7fffff,5
5874,2020-07-19,1750000,2.0,47.6461424225317,-122.302384943057,1850,5450,1926,0,0,1030,10,0,4,2.0,3,1,0,1,0,0,8728d542affffff,8a28d542a187fff,945.9459459459459,8828d542a1fffff,100
5876,2020-08-03,2085000,3.0,47.6271674935217,-122.087740957381,1700,11750,1975,0,0,750,10,0,3,3.0,2,1,0,1,0,0,8728d558effffff,8a28d558e00ffff,1226.4705882352941,8828d558e1fffff,139
5877,2020-07-30,650000,2.0,47.6815980718231,-122.389449385466,1220,4750,1909,0,110,1110,6,5,3,1.0,3,1,0,0,0,0,8728d5473ffffff,8a28d5473997fff,532.7868852459017,8828d54739fffff,9
5878,2020-08-05,625000,5.0,47.5249932963584,-122.316474720052,1350,6000,1907,0,0,930,5,0,3,1.5,4,1,0,0,0,0,8728d552bffffff,8a28d552b69ffff,462.962962962963,8828d552b7fffff,5
5879,2020-07-28,750000,4.0,47.5290267461785,-122.03395186967,1520,6536,1900,0,0,1100,6,0,4,2.0,4,1,1,0,0,0,8728d425bffffff,8a28d425baa7fff,493.42105263157896,8828d425bbfffff,139
5881,2020-08-05,1795000,2.0,47.6728617807417,-122.36748350614,910,4750,1905,0,0,910,6,0,3,1.0,2,1,0,0,0,0,8728d5472ffffff,8a28d547291ffff,1972.5274725274726,8828d54729fffff,9
5882,2020-08-05,644000,2.0,47.7393955863256,-122.299712884651,840,8100,1948,0,0,840,6,0,3,1.0,2,1,0,0,0,0,8728d54e0ffffff,8a28d54e0aeffff,766.6666666666666,8828d54e0bfffff,9
5883,2020-08-03,940000,2.0,47.6509072717154,-122.393291635365,1780,6000,1941,0,290,990,7,2,3,1.5,4,1,1,0,0,0,8728d5474ffffff,8a28d5474047fff,528.0898876404494,8828d54741fffff,9
5884,2020-08-08,2550000,3.0,47.7474012276477,-122.377836889223,4150,64904,1939,1989,0,2650,11,0,3,2.0,3,2,1,1,0,0,8728d5453ffffff,8a28d545320ffff,614.4578313253012,8828d54533fffff,2
5885,2020-08-14,670000,2.0,47.548969712059,-122.309564223722,1490,10864,1906,0,460,1030,6,5,3,1.0,2,1,1,0,0,0,8728d5508ffffff,8a28d550832ffff,449.66442953020135,8828d55083fffff,5
5887,2020-08-11,430000,2.0,47.4664262781892,-122.34562411378,1530,2400,1915,0,0,1530,5,0,3,1.0,2,1,0,1,0,0,8728d5cd3ffffff,8a28d5cd372ffff,281.0457516339869,8828d5cd37fffff,5
