sale_date,sale_price,sale_nbr,lat,lng,sqft,sqft_lot,year_built,year_reno,sqft_fbsmt,sqft_1,grade,fbsmt_grade,condition,stories,beds,bath_full,bath_3qtr,bath_half,garb_sqft,gara_sqft
2020-02-19,1095000,2.0,47.68205791416146,-122.28680731351454,940,7620,1928,0,0,940,7,0,3,1.0,2,1,0,0,0,0
2020-02-07,440000,8.0,47.38096797122332,-122.29935403216348,1830,9000,1959,0,420,1410,8,7,3,1.0,3,1,0,0,220,0
2020-03-03,502500,3.0,47.36491480624613,-122.30918280588084,2040,10872,1962,0,1020,1020,7,6,2,1.0,5,1,0,1,0,0
2020-03-03,693000,1.0,47.53121691775592,-122.28409602907492,2420,8911,1962,0,1130,1290,8,6,3,1.0,4,2,0,1,0,0
2020-02-28,2650000,1.0,47.55549310242734,-122.2307467782328,5190,14194,1987,0,1300,2970,11,10,3,2.0,5,2,1,2,0,580
2020-02-25,835000,2.0,47.68546176664755,-122.31385071144608,1790,6674,1928,0,310,1010,8,5,4,1.5,4,1,0,0,0,0
2020-03-08,1100000,1.0,47.72167245948776,-122.36808283836749,2690,8786,1959,0,1080,1610,9,7,4,1.0,3,2,1,0,520,0
2020-03-06,865000,5.0,47.76012649168814,-122.36627009975425,1570,8536,1960,0,300,1270,8,7,3,1.0,3,1,1,0,0,720
2020-03-05,390000,,47.55728215369494,-122.28711282942746,1810,6600,1907,0,800,1010,5,5,3,1.0,3,1,1,0,0,0
2020-02-24,562650,2.0,47.480198480074655,-122.34754086234848,1410,8600,1944,0,0,1410,6,0,4,1.0,4,1,0,1,0,0
2020-03-06,732000,3.0,47.699831855708894,-122.36036125606672,920,7087,1940,0,0,920,6,0,3,1.0,2,1,0,0,180,0
2020-03-06,1789000,2.0,47.64577318338901,-122.31744886683671,2880,4400,1923,1980,400,1280,10,10,4,2.0,4,2,0,0,0,0
2020-03-10,950000,2.0,47.31480299497262,-122.163654796672,1860,43560,1955,0,0,1480,5,0,3,2.0,5,1,0,0,0,770
2020-03-08,1685000,3.0,47.64577318338901,-122.31744886683671,2880,4400,1923,1980,400,1280,10,10,4,2.0,4,2,0,0,0,0
2020-03-13,788500,,47.664660195824865,-122.28852031420126,750,4000,1928,0,0,750,7,0,3,1.0,2,1,0,0,180,0
2020-03-12,614000,3.0,47.40087571706829,-122.13427704272218,2110,117176,1959,0,430,1680,8,6,3,1.0,5,1,1,1,0,550
2020-03-09,577320,,47.69724383477946,-122.2978330228684,960,8820,1947,0,0,960,7,0,3,1.0,2,1,0,0,0,280
2020-03-12,1300000,,47.68446675113581,-122.19551488131783,1430,10800,1926,0,0,930,7,0,3,1.5,4,1,0,0,0,0
2020-03-16,685100,2.0,47.52772575719566,-122.35814370596243,1400,5146,1927,0,0,1020,6,0,4,1.5,3,2,0,0,0,0
2020-03-16,522510,1.0,47.47457170874943,-122.29343343571963,1570,7711,1947,0,0,1570,7,0,2,1.0,3,1,0,0,240,0
2020-03-18,572400,3.0,47.52535416402608,-122.318022495434,1000,6000,1960,0,0,1000,6,0,4,1.0,3,1,0,0,0,0
2020-03-17,480000,5.0,47.47285153710601,-122.2820089610562,1580,40153,1948,0,0,1060,6,0,3,1.5,4,1,0,0,0,0
2020-03-12,845000,2.0,47.64958382644016,-122.4026684719578,770,6000,1932,0,0,770,6,0,3,1.0,2,1,0,0,0,0
2020-03-13,966000,2.0,47.55212177196755,-122.27513611333876,1590,6180,1916,0,0,940,7,0,3,1.5,4,1,0,0,0,0
2020-03-25,1075000,2.0,47.65577242747688,-122.35927026028943,2120,4250,1940,0,940,1180,7,6,4,1.0,4,1,0,1,240,0
2020-03-25,905000,3.0,47.67200137628391,-122.30092950438424,1630,4150,1939,0,520,1110,7,7,3,1.0,2,1,0,0,240,0
2020-03-27,672500,2.0,47.53571854130952,-122.28015409264545,880,7192,1926,0,0,880,5,0,2,1.0,2,1,0,0,180,0
2020-03-24,640000,4.0,47.72195599262777,-122.36268811257288,1440,7680,1948,0,0,1440,7,0,4,1.0,3,1,0,0,0,0
