feature,split_importance,gain_importance,gain_fraction
center_local_mean_log_price,841,727654.7760124207,0.32081887823634353
sqft,1659,325848.1190652847,0.14366459409064986
community_center,2231,177869.948554039,0.07842185504474566
week,6259,172898.11648845673,0.07622980238647745
time_trend,1094,91990.62252902985,0.04055814556698863
neighbor_6_local_mean_log_price,45,88721.24077987671,0.039116693631446355
community_neighbor_3,2457,85750.97971057892,0.03780712231310331
community_neighbor_5,2404,85282.48587799072,0.037600566030115315
community_neighbor_2,2429,85246.72401428223,0.037584798826522596
community_neighbor_4,2217,79569.67501926422,0.035081820009761074
community_neighbor_6,2177,76968.67499923706,0.033935053801078106
community_neighbor_1,1961,63583.861515045166,0.028033765183235197
sqft_lot,1180,53600.08432865143,0.023631974247356333
neighbor_2_local_mean_log_price,54,22609.38062095642,0.009968348133689634
year,247,17999.353330612183,0.007935813156001364
beds,214,16231.660901069641,0.007156447554334463
neighbor_5_local_mean_log_price,68,15723.623913764954,0.006932456917919153
neighbor_4_local_mean_log_price,61,11562.078421592712,0.0050976550303473735
water_proximity,357,9381.35116481781,0.004136184707714596
unemployment_rate,163,8452.85042476654,0.0037268139790604658
neighbor_3_local_mean_log_price,53,7185.6306409835815,0.003168103938373244
neighbor_1_local_mean_log_price,58,6886.896066665649,0.0030363935529232975
center_local_log1p_sales_count,189,6012.19402885437,0.0026507423680310976
center_local_recency_years,206,4427.62072467804,0.0019521129537985035
mortgage_rate,104,3043.52721118927,0.0013418739462226269
center_local_log_price_std,149,2969.686707496643,0.001309318085471057
center_local_price_trend,100,2648.0309352874756,0.0011675018734152614
neighbor_6_local_price_trend,55,1578.921015739441,0.0006961373522059711
neighbor_1_local_log1p_sales_count,48,1362.8973979949951,0.0006008937600493703
neighbor_2_local_log1p_sales_count,40,1310.3801097869873,0.0005777391844919356
neighbor_1_local_price_trend,52,1136.6106548309326,0.0005011252138996629
neighbor_3_local_price_trend,49,1132.33167552948,0.0004992386361092835
neighbor_4_local_price_trend,52,952.960033416748,0.00042015469286167505
neighbor_6_local_recency_years,55,891.7201118469238,0.0003931543575529746
neighbor_5_local_price_trend,35,869.8356552124023,0.0003835056243078303
neighbor_1_local_recency_years,51,804.0498876571655,0.0003545010511960506
neighbor_4_local_recency_years,57,778.3024215698242,0.0003431491389158402
neighbor_6_local_log1p_sales_count,25,708.8433971405029,0.00031252504760852874
neighbor_2_local_price_trend,32,700.38694190979,0.00030879664429089994
neighbor_3_local_log1p_sales_count,29,553.5176887512207,0.00024404282063849052
neighbor_3_local_recency_years,40,551.7043294906616,0.00024324332078912497
neighbor_2_local_recency_years,36,529.2203273773193,0.00023333025133083707
neighbor_1_local_log_price_std,34,529.0996541976929,0.00023327704720795184
neighbor_5_local_recency_years,41,514.3535318374634,0.0002267755652004127
neighbor_2_local_log_price_std,33,501.8890972137451,0.0002212800664204208
neighbor_6_local_log_price_std,31,489.332070350647,0.00021574374424539257
neighbor_4_local_log1p_sales_count,20,459.13289737701416,0.00020242909955885675
neighbor_3_local_log_price_std,27,418.6406373977661,0.00018457629098528257
is_waterfront,8,338.87609577178955,0.00014940855538995526
neighbor_4_local_log_price_std,22,308.6726007461548,0.00013609200513511885
neighbor_5_local_log_price_std,21,292.61172008514404,0.00012901085362342275
neighbor_5_local_log1p_sales_count,14,283.592001914978,0.00012503411085919847
