id,address,latitude,longitude,lastSalePrice,squareFootage,lotSize,bedrooms,bathrooms,propertyType,lastSaleDate
"14314-27th-Ave-NE,-Seattle,-WA-98125","14314 27th Ave NE, Seattle, WA 98125",47.732470,-122.298808,635000,1350,8876,4,1.0,Single Family,2025-10-21
"13047-39th-Ave-Ne-Unit-A,-Seattle,-WA-98125","13047 39th Ave Ne Unit A, Seattle, WA 98125",47.724358,-122.286814,775000,2431,2309,4,1.5,Single Family,2025-11-26
"2801-Ne-130th-St,-Apt-C101,-Seattle,-WA-98125","2801 Ne 130th St, Apt C101, Seattle, WA 98125",47.722666,-122.297057,488500,1341,33453,2,1.5,Condo,2025-11-05
"14528-35th-Ave-NE,-Lake-Forest-Park,-WA-98155","14528 35th Ave NE, Lake Forest Park, WA 98155",47.733938,-122.291058,725000,1710,1020,3,3.0,Single Family,2025-10-15
"3323-Ne-156th-St,-Lake-Forest-Park,-WA-98155","3323 Ne 156th St, Lake Forest Park, WA 98155",47.741384,-122.293104,1215000,2430,15590,3,2.5,Single Family,2026-02-24
"8717-Ne-137th-Pl,-Kirkland,-WA-98034","8717 Ne 137th Pl, Kirkland, WA 98034",47.723444,-122.224549,997000,1300,10272,3,1.5,Single Family,2025-10-17
"12443-86th-Pl-NE,-Kirkland,-WA-98034","12443 86th Pl NE, Kirkland, WA 98034",47.713196,-122.226708,1010000,1090,8889,3,1.5,Single Family,2025-11-03
"7725-Ne-142nd-Pl,-Kirkland,-WA-98034","7725 Ne 142nd Pl, Kirkland, WA 98034",47.729937,-122.236994,1325000,2030,7700,4,2.0,Single Family,2025-09-30
"7435-Ne-129th-St,-Kirkland,-WA-98034","7435 Ne 129th St, Kirkland, WA 98034",47.715654,-122.241052,2750000,2840,61873,4,2.5,Single Family,2025-10-23
"8318-Ne-122nd-Pl,-Kirkland,-WA-98034","8318 Ne 122nd Pl, Kirkland, WA 98034",47.710867,-122.230253,995000,2000,8165,3,1.5,Single Family,2025-10-15
